Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Revenue w/ tax
10043,12-02-2024,Electronics,GoPro HERO10 Black,3,399.99,1199.97,North America,Credit Card,1415.9646
10044,13-02-2024,Home Appliances,Nespresso VertuoPlus,1,199.99,199.99,Europe,PayPal,235.9882
10045,14-02-2024,Clothing,Patagonia Better Sweater,2,139.99,279.98,Asia,Debit Card,330.3764
10046,15-02-2024,Books,Becoming by Michelle Obama,4,32.5,130,North America,Credit Card,153.4
10047,16-02-2024,Beauty Products,Clinique Moisture Surge,1,52,52,Europe,PayPal,61.36
10048,17-02-2024,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card,283.1292
10049,18-02-2024,Electronics,Kindle Paperwhite,2,129.99,259.98,North America,Credit Card,306.7764
10050,19-02-2024,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal,353.9882
10051,20-02-2024,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,464.97,Asia,Debit Card,548.6646
10052,21-02-2024,Books,The Silent Patient by Alex Michaelides,2,26.99,53.98,North America,Credit Card,63.6964
10053,22-02-2024,Beauty Products,Shiseido Ultimate Sun Protector,1,49,49,Europe,PayPal,57.82
10054,23-02-2024,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card,294.941
10055,24-02-2024,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card,283.1528
10056,25-02-2024,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal,589.9882
10057,26-02-2024,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card,176.941
10058,27-02-2024,Books,Educated by Tara Westover,3,28,84,North America,Credit Card,99.12
10059,28-02-2024,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23,46,Europe,PayPal,54.28
10060,29-02-2024,Sports,Hyperice Hypervolt Massager,1,349,349,Asia,Credit Card,411.82
10061,01-03-2024,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card,1061.9646
10062,02-03-2024,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal,471.9764
10063,03-03-2024,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card,117.882
10064,04-03-2024,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card,89.6328
10065,05-03-2024,Beauty Products,Lancome La Vie Est Belle,1,102,102,Europe,PayPal,120.36
10066,06-03-2024,Sports,Garmin Edge 530,2,299.99,599.98,Asia,Credit Card,707.9764
10067,07-03-2024,Electronics,Samsung QLED 4K TV,1,1199.99,1199.99,North America,Credit Card,1415.9882
10068,08-03-2024,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal,778.7646
10069,09-03-2024,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card,283.1528
10070,10-03-2024,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,21.98,North America,Credit Card,25.9364
10071,11-03-2024,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78,78,Europe,PayPal,92.04
10072,12-03-2024,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card,460.1646
10073,13-03-2024,Electronics,HP Spectre x360 Laptop,1,1599.99,1599.99,North America,Credit Card,1887.9882
10074,14-03-2024,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal,1061.9882
10075,15-03-2024,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card,294.941
10076,16-03-2024,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card,70.7528
10077,17-03-2024,Beauty Products,Glossier Boy Brow,2,16,32,Europe,PayPal,37.76
10078,18-03-2024,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card,247.7646
10079,19-03-2024,Electronics,Apple AirPods Pro,2,249.99,499.98,North America,Credit Card,589.9764
10080,20-03-2024,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal,589.9882
10081,21-03-2024,Clothing,Levi's Trucker Jacket,2,89.99,179.98,Asia,Debit Card,212.3764
10082,22-03-2024,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card,45.9846
10083,23-03-2024,Beauty Products,Charlotte Tilbury Magic Cream,1,100,100,Europe,PayPal,118
10084,24-03-2024,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card,176.9292
10085,25-03-2024,Electronics,Ring Video Doorbell,1,99.99,99.99,North America,Credit Card,117.9882
10086,26-03-2024,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal,3067.9764
10087,27-03-2024,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,239.97,Asia,Debit Card,283.1646
10088,28-03-2024,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card,66.0328
10089,29-03-2024,Beauty Products,Sunday Riley Good Genes,1,105,105,Europe,PayPal,123.9
10090,30-03-2024,Sports,On Running Cloud Shoes,2,129.99,259.98,Asia,Credit Card,306.7764
10091,31-03-2024,Electronics,Logitech MX Master 3 Mouse,2,99.99,199.98,North America,Credit Card,235.9764
10092,01-04-2024,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal,212.3882
10093,02-04-2024,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card,377.5528
10094,03-04-2024,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card,53.0646
10095,04-04-2024,Beauty Products,Tatcha The Water Cream,1,68,68,Europe,PayPal,80.24
10096,05-04-2024,Sports,Garmin Fenix 6X Pro,1,999.99,999.99,Asia,Credit Card,1179.9882
10097,06-04-2024,Electronics,Bose SoundLink Revolve+ Speaker,3,299.99,899.97,North America,Credit Card,1061.9646
10098,07-04-2024,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,Europe,PayPal,412.9882
10099,08-04-2024,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,119.94,Asia,Debit Card,141.5292
10100,09-04-2024,Books,The Power of Now by Eckhart Tolle,2,12.99,25.98,North America,Credit Card,30.6564
10101,10-04-2024,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82,82,Europe,PayPal,96.76
10102,11-04-2024,Sports,Under Armour HOVR Sonic 4 Shoes,2,109.99,219.98,Asia,Credit Card,259.5764
10103,12-04-2024,Electronics,Canon EOS R5 Camera,1,3899.99,3899.99,North America,Credit Card,4601.9882
10104,13-04-2024,Home Appliances,Shark IQ Robot Vacuum,2,349.99,699.98,Europe,PayPal,825.9764
10105,14-04-2024,Clothing,H&M Slim Fit Jeans,3,39.99,119.97,Asia,Debit Card,141.5646
10106,15-04-2024,Books,The Girl on the Train by Paula Hawkins,4,10.99,43.96,North America,Credit Card,51.8728
10107,16-04-2024,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,6.5,Europe,PayPal,7.67
10108,17-04-2024,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,399.99,Asia,Credit Card,471.9882
10109,18-04-2024,Electronics,Google Nest Hub Max,2,229.99,459.98,North America,Credit Card,542.7764
10110,19-04-2024,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,159.99,Europe,PayPal,188.7882
10111,20-04-2024,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,59.96,Asia,Debit Card,70.7528
10112,21-04-2024,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,18.99,37.98,North America,Credit Card,44.8164
10113,22-04-2024,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15,15,Europe,PayPal,17.7
10114,23-04-2024,Sports,Fitbit Versa 3,3,229.95,689.85,Asia,Credit Card,814.023
10115,24-04-2024,Electronics,Amazon Echo Show 10,1,249.99,249.99,North America,Credit Card,294.9882
10116,25-04-2024,Home Appliances,Breville Smart Grill,2,299.95,599.9,Europe,PayPal,707.882
10117,26-04-2024,Clothing,Gap High Rise Skinny Jeans,3,49.99,149.97,Asia,Debit Card,176.9646
10118,27-04-2024,Books,Atomic Habits by James Clear,4,16.99,67.96,North America,Credit Card,80.1928
10119,28-04-2024,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,29.98,Europe,PayPal,35.3764
10120,29-04-2024,Sports,YETI Hopper Flip Portable Cooler,1,249.99,249.99,Asia,Credit Card,294.9882
10121,30-04-2024,Electronics,Apple iPad Air,2,599.99,1199.98,North America,Credit Card,1415.9764
,,,,,,50652.62,,,
